#####################################################################
# Alchemist log file - simulation started at: 2026-06-18T09:19+0000 #
#####################################################################
#
# update-frequency = 0.0166666667, 5g-probability = 0, payload-size = 3, seed = 3.0
#
# The columns have the following meaning: 
# time B1_DR[mean] DIST_MR[mean] DR_MR[mean] CSC[mean] reduction-factor[mean] reduction-factor[median] reduction-factor[StandardDeviation] export-intra-cluster-relay-data-rate-not-leader[mean] export-intra-cluster-relay-data-rate-not-leader[variance] export-intra-cluster-relay-data-rate-not-leader[median] leader-to-relay-data-rate[mean] leader-to-relay-data-rate[variance] leader-to-relay-data-rate[median] n_clusters cluster-size[mean] cluster-size[median] cluster-size[StandardDeviation] clustersComposedOfOneElement export-intra-cluster-relay-data-rate[mean] export-intra-cluster-relay-data-rate[variance] export-intra-cluster-relay-data-rate[median] export-baseline1-data-rate[mean] export-baseline1-data-rate[variance] export-baseline1-data-rate[median] export-baseline2-data-rate[mean] export-baseline2-data-rate[variance] export-baseline2-data-rate[median] export-baseline3-data-rate[mean] export-baseline3-data-rate[variance] export-baseline3-data-rate[median] distanceToLeader[mean] distanceToLeader[variance] distanceToLeader[median] 
7440.016548223542 1.37e+03 1.36e+03 1.28e+03 1.41e+03 0.805 1.00 0.397 380473.4262788084 7.43325981284249E10 350540.8755648896 1520.1939788667185 2.2755096649937418E8 8.79671245624489 211.0 2.200000000000004 1.0 14.620494234964948 196.0 380473.4262788084 7.43325981284249E10 350540.8755648896 1376.6233766233754 2239625.8838775046 0.0 168851.6748313112 6.779377099715592E10 9324.185730404934 167039.9607886105 6.944662902940002E10 9.174154304384645 0.5661800568159711 57.35562935558027 0.001324715324171622
7500.016548223542 1.36e+03 1.36e+03 1.27e+03 1.41e+03 0.797 1.00 0.403 380762.4115836828 7.424230043670848E10 350540.8755648896 1370.2893005088763 3.206296343895954E8 8.802241312093944 211.0 2.2000000000000037 1.0 14.547661315853063 197.0 380762.4115836828 7.424230043670848E10 350540.8755648896 1370.129870129871 2237977.8572837124 0.0 170189.4424806309 6.850251909316265E10 9337.937798242418 166962.70861311123 6.97817060708833E10 0.0 0.5032253629080471 55.85127967077811 0.0013275310668562257
7560.016548223542 1.36e+03 1.36e+03 1.27e+03 1.39e+03 0.800 1.00 0.401 383433.59126186714 7.36690841912618E10 360099.5682107281 130.38222138480663 1458702.4773477819 8.804579192573957 211.0 2.200000000000004 1.0 14.549963415991833 198.0 383433.59126186714 7.36690841912618E10 360099.5682107281 1370.129870129871 2237977.8572837124 0.0 170074.69201254583 6.865954899457707E10 9324.185730404934 166991.23384474133 6.989101546947852E10 8.613981434248995 0.5041901963480853 56.1841649335114 0.001309411259822158
7620.016548223542 1.36e+03 1.36e+03 1.28e+03 1.39e+03 0.803 1.00 0.398 380293.94019190205 7.355933443060486E10 350540.8755648896 1292.2639173709977 3.1628794638260645E8 8.812568948599058 212.0 2.1895734597156418 1.0 14.520333372404616 199.0 380293.94019190205 7.355933443060486E10 350540.8755648896 1370.129870129871 2237977.8572837124 0.0 169904.5613673536 6.870890646681746E10 8887.234700830544 166909.33279916624 6.990982511988828E10 341.24830429349004 0.25787059481552277 28.238126553065484 0.0013002134750268205
7680.016548223542 1.36e+03 1.36e+03 1.28e+03 1.40e+03 0.803 1.00 0.398 378726.74153377884 7.37503890951758E10 330277.3290734106 1291.4443696487026 3.162839465275166E8 8.826402805131412 212.0 2.1895734597156418 1.0 14.520333372404616 199.0 378726.74153377884 7.37503890951758E10 330277.3290734106 1370.129870129871 2237977.8572837124 0.0 168974.7844151482 6.88717808961136E10 7320.265154748127 166832.4634589263 6.990777184768231E10 341.24830429349004 0.010859579870425252 7.426511429585637E-4 0.0012996903195532407
7740.016548223542 1.36e+03 1.35e+03 1.27e+03 1.37e+03 0.796 1.00 0.404 381062.03090944956 7.263422612941798E10 340409.1023191501 29.6891556917464 43454.23674141846 8.819485876865235 211.0 2.200000000000004 1.0 14.487348052301323 198.0 381062.03090944956 7.263422612941798E10 340409.1023191501 1363.6363636363633 2236245.3165056068 0.0 167071.42673933916 6.852456061984311E10 7317.090279830992 166808.22389876458 6.986406820741243E10 250.218024405557 0.010622824489855326 6.877867524512416E-4 0.0013042140086637782
7800.016548223542 1.36e+03 1.36e+03 1.27e+03 1.38e+03 0.799 1.00 0.401 383659.3599323078 7.31497358938514E10 367584.206232668 14.497929079179695 83.80574111673496 8.802241312093944 212.0 2.1895734597156418 1.0 14.45294780636069 199.0 383659.3599323078 7.31497358938514E10 367584.206232668 1363.6363636363633 2236245.3165056068 0.0 167994.5025425048 6.873417142078705E10 4329.480032832618 166767.15203354703 6.979481335492506E10 8.77504928289382 0.011429374757150484 9.146504015311498E-4 0.0013030732722929114
7860.016548223542 1.35e+03 1.35e+03 1.26e+03 1.37e+03 0.804 1.00 0.397 384636.5533400556 7.285781561764911E10 367584.206232668 28.360709450101464 37454.98082712968 8.812568948599058 214.0 2.1690140845070442 1.0 14.3171482306132 202.0 384636.5533400556 7.285781561764911E10 367584.206232668 1357.1428571428585 2234428.261543226 0.0 167763.94780218022 6.903265418330861E10 3985.1599387866663 166738.88755611022 6.984714862523997E10 186.92542413097067 0.010508400174175637 6.900911136700201E-4 0.0012853085711403256
7920.016548223542 1.35e+03 1.34e+03 1.26e+03 1.37e+03 0.786 1.00 0.410 383071.53618864686 7.290570220454892E10 350035.2830571276 31.472027711480813 41334.44443605328 8.826649520562054 211.0 2.200000000000004 1.0 14.41815708017217 196.0 383071.53618864686 7.290570220454892E10 350035.2830571276 1357.1428571428585 2234428.261543226 0.0 166580.5376634909 6.853044745468463E10 4674.488355267891 166543.61171222216 6.985385074569348E10 8.777580642058993 0.010620913540925692 6.959228336110657E-4 0.0012889888421483663
7980.016548223542 1.35e+03 1.35e+03 1.26e+03 1.37e+03 0.789 1.00 0.408 384380.21887433366 7.294171938173372E10 364930.79927176365 27.234136727167847 30808.880717677464 8.839128712947058 211.0 2.200000000000004 1.0 14.41848892798789 197.0 384380.21887433366 7.294171938173372E10 364930.79927176365 1357.1428571428585 2234428.261543226 0.0 167720.07699659 6.890520187069803E10 6158.490487306768 166315.60723472637 6.982659945508798E10 280.388136196456 0.010667562552043092 7.121987914088335E-4 0.001288945874995299
